position_id,employee_id,start_date,end_date
fa001e78-0001-4000-8000-000000000001,bad8a5a0-ec08-412e-8f19-0d9e993d5651,2000-05-15,2005-05-15
fa001e78-0002-4000-8000-000000000002,33dea239-2610-49d9-8f33-748f62f04e74,2008-07-01,2012-06-30
fa001e78-0003-4000-8000-000000000003,bf8732c8-208b-4c1e-af7f-a996eb0f1061,2002-07-01,2005-06-30
fa001e78-0004-4000-8000-000000000004,33dea239-2610-49d9-8f33-748f62f04e74,2012-07-01,2015-06-30
fa001e78-0005-4000-8000-000000000005,28786a1b-d0c5-404e-be11-399cb8dcf4e9,2010-07-01,2013-06-30
fa001e78-0006-4000-8000-000000000006,33dea239-2610-49d9-8f33-748f62f04e74,2015-07-01,2018-06-30
fa001e78-0007-4000-8000-000000000007,33dea239-2610-49d9-8f33-748f62f04e74,2018-07-01,2020-06-30
fa001e78-0008-4000-8000-000000000008,33dea239-2610-49d9-8f33-748f62f04e74,2020-07-01,null
fa001e78-0009-4000-8000-000000000009,30bab7ef-90c2-4b2f-84e1-8c36ca13d09a,2011-07-01,2014-06-30
fa001e78-000a-4000-8000-00000000000a,5488e8d0-bd5b-46f7-b0bc-d94076add996,2005-07-01,2008-06-30
4eae2daf-0001-4000-8000-000000000001,21e41d95-b4e3-4599-bd8f-944dde04f6cb,1998-08-20,2007-06-30
4eae2daf-0002-4000-8000-000000000002,21e41d95-b4e3-4599-bd8f-944dde04f6cb,2007-07-01,2010-06-30
4eae2daf-0003-4000-8000-000000000003,21e41d95-b4e3-4599-bd8f-944dde04f6cb,2010-07-01,2013-06-30
4eae2daf-0004-4000-8000-000000000004,246e7d6b-6774-476e-ad67-c2e5d0e52b6b,2008-07-01,2012-06-30
4eae2daf-0005-4000-8000-000000000005,246e7d6b-6774-476e-ad67-c2e5d0e52b6b,2012-07-01,2015-06-30
4eae2daf-0006-4000-8000-000000000006,246e7d6b-6774-476e-ad67-c2e5d0e52b6b,2015-07-01,2018-06-30
4eae2daf-0007-4000-8000-000000000007,28786a1b-d0c5-404e-be11-399cb8dcf4e9,2010-07-01,2013-06-30
4eae2daf-0008-4000-8000-000000000008,21cc75fe-63ea-43c4-8232-c93ffccd30b0,2008-07-01,2011-06-30
4eae2daf-0009-4000-8000-000000000009,53f908b8-5353-403c-a5c5-9c3f3fc92392,2012-07-01,2015-06-30
4eae2daf-000a-4000-8000-00000000000a,5488e8d0-bd5b-46f7-b0bc-d94076add996,2005-07-01,2008-06-30
42790098-0001-4000-8000-000000000001,c7cabdc2-d5c7-4b0b-b607-fe7e3774bfab,2005-03-10,2012-06-30
42790098-0002-4000-8000-000000000002,c7cabdc2-d5c7-4b0b-b607-fe7e3774bfab,2012-07-01,2015-06-30
42790098-0003-4000-8000-000000000003,c7cabdc2-d5c7-4b0b-b607-fe7e3774bfab,2015-07-01,2018-06-30
42790098-0004-4000-8000-000000000004,d87c8b99-54f5-45cb-a639-ba959293023e,2011-07-01,2014-06-30
42790098-0005-4000-8000-000000000005,d87c8b99-54f5-45cb-a639-ba959293023e,2014-07-01,2017-06-30
42790098-0006-4000-8000-000000000006,d87c8b99-54f5-45cb-a639-ba959293023e,2017-07-01,2020-06-30
42790098-0007-4000-8000-000000000007,91e806c5-cac6-4789-a8fe-f94c6ca9c545,2014-07-01,2017-06-30
42790098-0008-4000-8000-000000000008,a2c7e633-3b34-4143-801a-65fe6f700364,2012-07-01,2015-06-30
42790098-0009-4000-8000-000000000009,30bab7ef-90c2-4b2f-84e1-8c36ca13d09a,2011-07-01,2014-06-30
42790098-000a-4000-8000-00000000000a,5488e8d0-bd5b-46f7-b0bc-d94076add996,2005-07-01,2008-06-30
0ae9589e-0001-4000-8000-000000000001,21cc75fe-63ea-43c4-8232-c93ffccd30b0,2003-11-25,2011-06-30
0ae9589e-0002-4000-8000-000000000002,21cc75fe-63ea-43c4-8232-c93ffccd30b0,2011-07-01,2014-06-30
0ae9589e-0003-4000-8000-000000000003,21cc75fe-63ea-43c4-8232-c93ffccd30b0,2014-07-01,2017-06-30
0ae9589e-0004-4000-8000-000000000004,446a4190-0a9a-49db-b205-2099138c15ef,2015-07-01,2018-06-30
0ae9589e-0005-4000-8000-000000000005,446a4190-0a9a-49db-b205-2099138c15ef,2018-07-01,2021-06-30
0ae9589e-0006-4000-8000-000000000006,446a4190-0a9a-49db-b205-2099138c15ef,2021-07-01,2023-06-30
0ae9589e-0007-4000-8000-000000000007,446a4190-0a9a-49db-b205-2099138c15ef,2023-07-01,null
0ae9589e-0008-4000-8000-000000000008,68d5fa2e-c914-42b6-a4ae-12416b539b08,2010-07-01,2013-06-30
0ae9589e-0009-4000-8000-000000000009,30bab7ef-90c2-4b2f-84e1-8c36ca13d09a,2011-07-01,2014-06-30
0ae9589e-000a-4000-8000-00000000000a,5488e8d0-bd5b-46f7-b0bc-d94076add996,2005-07-01,2008-06-30
d94fe5a8-0001-4000-8000-000000000001,ed01868b-f88b-4afe-a9bb-5284e00230cc,2010-07-30,2011-06-30
d94fe5a8-0002-4000-8000-000000000002,ed01868b-f88b-4afe-a9bb-5284e00230cc,2011-07-01,2014-06-30
d94fe5a8-0003-4000-8000-000000000003,ed01868b-f88b-4afe-a9bb-5284e00230cc,2014-07-01,2017-06-30
d94fe5a8-0004-4000-8000-000000000004,ed01868b-f88b-4afe-a9bb-5284e00230cc,2017-07-01,2020-06-30
d94fe5a8-0005-4000-8000-000000000005,ed01868b-f88b-4afe-a9bb-5284e00230cc,2020-07-01,null
d94fe5a8-0006-4000-8000-000000000006,07a33f8c-3fd4-43be-a10d-9ab824301689,2010-07-01,2013-06-30
d94fe5a8-0007-4000-8000-000000000007,07a33f8c-3fd4-43be-a10d-9ab824301689,2013-07-01,2016-06-30
d94fe5a8-0008-4000-8000-000000000008,07a33f8c-3fd4-43be-a10d-9ab824301689,2016-07-01,2019-06-30
d94fe5a8-0009-4000-8000-000000000009,07a33f8c-3fd4-43be-a10d-9ab824301689,2019-07-01,null
d94fe5a8-000a-4000-8000-00000000000a,5488e8d0-bd5b-46f7-b0bc-d94076add996,2005-07-01,2008-06-30
fa001e78-0001-4000-8000-000000000001,9742cf5e-0880-4f57-a0de-1d3bb315f01b,2005-07-01,2010-06-30
fa001e78-0002-4000-8000-000000000002,d1e498e0-2d34-49f3-896e-5309e31e6ecb,2012-07-01,2015-06-30
fa001e78-0003-4000-8000-000000000003,156df69b-fc84-4149-a733-7b70d1b4a111,2005-07-01,2008-06-30
fa001e78-0004-4000-8000-000000000004,67fa667a-2fc8-41b9-b710-ace86f5e56fc,2015-07-01,2018-06-30
fa001e78-0005-4000-8000-000000000005,8aab8056-cf47-43d4-9cd7-16557089b4ea,2013-07-01,2016-06-30
