post_id,employee_id,start_date,end_date
d7aac778-85f0-4953-897e-a5689da272e4,bad8a5a0-ec08-412e-8f19-0d9e993d5651,2000-05-15,2005-05-15
139d4502-cd99-4c29-846d-cb5dccabee1a,33dea239-2610-49d9-8f33-748f62f04e74,2008-07-01,2012-06-30
7cf2e40d-d07f-4272-bebf-7133123a73e9,33dea239-2610-49d9-8f33-748f62f04e74,2012-07-01,2015-06-30
22fa0d48-af98-4f75-acf6-8a253fb3cd9c,33dea239-2610-49d9-8f33-748f62f04e74,2015-07-01,2018-06-30
207f02ec-1bf9-4f3d-b3a2-7ef3625f296c,33dea239-2610-49d9-8f33-748f62f04e74,2018-07-01,2020-06-30
8dfc19d3-f76f-470e-b7fe-fecc5866ebe2,a2c7e633-3b34-4143-801a-65fe6f700364,2012-07-01,2015-06-30
f866b7a3-c465-42f1-9761-8642b29d567e,30bab7ef-90c2-4b2f-84e1-8c36ca13d09a,2011-07-01,2014-06-30
0e1b5475-204a-48a8-a50f-c913a0636f52,5488e8d0-bd5b-46f7-b0bc-d94076add996,2005-07-01,2008-06-30
e2ca35f4-ef8d-40ca-bbc2-d8ba0c0b5867,bf8732c8-208b-4c1e-af7f-a996eb0f1061,2002-07-01,2005-06-30
2e4664e2-2ebc-4773-aa76-83ebafdec002,bf8732c8-208b-4c1e-af7f-a996eb0f1061,2005-07-01,2008-06-30
5cc7917e-b759-450e-80ef-31209f33c246,246e7d6b-6774-476e-ad67-c2e5d0e52b6b,2008-07-01,2012-06-30
9352f935-a8b1-4432-99ee-f7b7eeab587e,21e41d95-b4e3-4599-bd8f-944dde04f6cb,2007-07-01,2010-06-30
635aa547-d6dc-4043-b664-adba8df3cc80,21e41d95-b4e3-4599-bd8f-944dde04f6cb,2010-07-01,2013-06-30
be97441d-b863-4a9e-93ce-a9c2a02930c9,28786a1b-d0c5-404e-be11-399cb8dcf4e9,2010-07-01,2013-06-30
0632ab68-0fc7-4245-8342-94c67df02c0a,21cc75fe-63ea-43c4-8232-c93ffccd30b0,2008-07-01,2011-06-30
93570a20-9250-41f9-98b4-4dac0eb41e3e,53f908b8-5353-403c-a5c5-9c3f3fc92392,2012-07-01,2015-06-30
1e892c71-7540-4dc2-9611-49f2caa9badc,c7cabdc2-d5c7-4b0b-b607-fe7e3774bfab,2012-07-01,2015-06-30
bfbe2c77-fce8-40f5-bbf8-0a391e02c1d5,c7cabdc2-d5c7-4b0b-b607-fe7e3774bfab,2015-07-01,2018-06-30
bb406b12-415f-4fbb-97fd-b06724d4740e,246e7d6b-6774-476e-ad67-c2e5d0e52b6b,2012-07-01,2015-06-30
cc6d26f0-33d5-4ab8-85e4-8a53f78b83eb,d87c8b99-54f5-45cb-a639-ba959293023e,2011-07-01,2014-06-30
130ba1f5-91cc-4a46-b2fe-d4507f20f68b,d87c8b99-54f5-45cb-a639-ba959293023e,2014-07-01,2017-06-30
bdaaad5a-fbfe-4f76-96aa-7abd6a162b3a,d87c8b99-54f5-45cb-a639-ba959293023e,2017-07-01,2020-06-30
891451af-c7b0-4b45-ac11-1c5d178c1405,91e806c5-cac6-4789-a8fe-f94c6ca9c545,2014-07-01,2017-06-30
9204eb97-197c-42eb-9fa1-7d826333a231,a2c7e633-3b34-4143-801a-65fe6f700364,2015-07-01,2018-06-30
6e49bd73-a683-4c1e-81a8-e2d3368b0d95,21cc75fe-63ea-43c4-8232-c93ffccd30b0,2011-07-01,2014-06-30
11e89ab9-d8ee-48d2-8c34-ebff24cdf4f5,21cc75fe-63ea-43c4-8232-c93ffccd30b0,2014-07-01,2017-06-30
5f18d34e-7bee-4f49-8c44-0eaca8bb1557,446a4190-0a9a-49db-b205-2099138c15ef,2015-07-01,2018-06-30
b992b65b-ca2f-487a-ac8a-cc0aa7737d63,446a4190-0a9a-49db-b205-2099138c15ef,2018-07-01,2021-06-30
96fc47f4-d8aa-4fb5-9089-0b7ee39bfe90,446a4190-0a9a-49db-b205-2099138c15ef,2021-07-01,2023-06-30
0cc0fc8a-4185-434f-b384-ddd509ce8539,446a4190-0a9a-49db-b205-2099138c15ef,2023-07-01,null
3155a63f-5871-47f6-8c83-2811dc20405e,28786a1b-d0c5-404e-be11-399cb8dcf4e9,2013-07-01,2016-06-30
984035b8-a9a7-45f7-88a2-2f46fd4ec9a6,28786a1b-d0c5-404e-be11-399cb8dcf4e9,2016-07-01,2019-06-30
5f7ed72b-b48c-4eaa-a991-99993bc8fdff,28786a1b-d0c5-404e-be11-399cb8dcf4e9,2010-07-01,2013-06-30
1dae6dc6-6563-463a-a627-c79d73973115,28786a1b-d0c5-404e-be11-399cb8dcf4e9,2013-07-01,2016-06-30
c7c2f87f-d925-4b3d-b1d4-0b92c0d9f904,68d5fa2e-c914-42b6-a4ae-12416b539b08,2010-07-01,2013-06-30
0f5ec17e-2a3a-49e4-96c7-50937f660989,68d5fa2e-c914-42b6-a4ae-12416b539b08,2013-07-01,2016-06-30
c6fb47b6-7603-465f-8b01-e23999ed56ad,68d5fa2e-c914-42b6-a4ae-12416b539b08,2016-07-01,2019-06-30
81614aed-1c60-49a5-a19d-985ac366b8f0,68d5fa2e-c914-42b6-a4ae-12416b539b08,2019-07-01,2022-06-30
fb14d208-5808-4ef8-8929-7131289be9a1,4b5377fa-cb51-4954-8552-54acb626c108,2010-07-01,2013-06-30
bd91fa0a-354b-4183-a4cf-5eaad58c6b8e,4b5377fa-cb51-4954-8552-54acb626c108,2013-07-01,2016-06-30
207f02ec-1bf9-4f3d-b3a2-7ef3625f296c,ed01868b-f88b-4afe-a9bb-5284e00230cc,2011-07-01,2014-06-30
22fa0d48-af98-4f75-acf6-8a253fb3cd9c,ed01868b-f88b-4afe-a9bb-5284e00230cc,2014-07-01,2017-06-30
7cf2e40d-d07f-4272-bebf-7133123a73e9,ed01868b-f88b-4afe-a9bb-5284e00230cc,2017-07-01,2020-06-30
139d4502-cd99-4c29-846d-cb5dccabee1a,ed01868b-f88b-4afe-a9bb-5284e00230cc,2020-07-01,null
207f02ec-1bf9-4f3d-b3a2-7ef3625f296c,07a33f8c-3fd4-43be-a10d-9ab824301689,2010-07-01,2013-06-30
22fa0d48-af98-4f75-acf6-8a253fb3cd9c,07a33f8c-3fd4-43be-a10d-9ab824301689,2013-07-01,2016-06-30
7cf2e40d-d07f-4272-bebf-7133123a73e9,07a33f8c-3fd4-43be-a10d-9ab824301689,2016-07-01,2019-06-30
139d4502-cd99-4c29-846d-cb5dccabee1a,07a33f8c-3fd4-43be-a10d-9ab824301689,2019-07-01,null
207f02ec-1bf9-4f3d-b3a2-7ef3625f296c,9742cf5e-0880-4f57-a0de-1d3bb315f01b,2012-07-01,2015-06-30
22fa0d48-af98-4f75-acf6-8a253fb3cd9c,9742cf5e-0880-4f57-a0de-1d3bb315f01b,2015-07-01,2018-06-30
7cf2e40d-d07f-4272-bebf-7133123a73e9,9742cf5e-0880-4f57-a0de-1d3bb315f01b,2018-07-01,2021-06-30
139d4502-cd99-4c29-846d-cb5dccabee1a,9742cf5e-0880-4f57-a0de-1d3bb315f01b,2021-07-01,null
207f02ec-1bf9-4f3d-b3a2-7ef3625f296c,d1e498e0-2d34-49f3-896e-5309e31e6ecb,2011-07-01,2014-06-30
22fa0d48-af98-4f75-acf6-8a253fb3cd9c,d1e498e0-2d34-49f3-896e-5309e31e6ecb,2014-07-01,2017-06-30
