id,title,parent_id,company_id
fa001e78-0001-4000-8000-000000000001,Генеральный директор,null,fa001e78-8ff1-4bb3-b417-d518483ca7b3
fa001e78-0002-4000-8000-000000000002,Технический директор,fa001e78-0001-4000-8000-000000000001,fa001e78-8ff1-4bb3-b417-d518483ca7b3
fa001e78-0003-4000-8000-000000000003,Финансовый директор,fa001e78-0001-4000-8000-000000000001,fa001e78-8ff1-4bb3-b417-d518483ca7b3
fa001e78-0004-4000-8000-000000000004,Руководитель отдела разработки,fa001e78-0002-4000-8000-000000000002,fa001e78-8ff1-4bb3-b417-d518483ca7b3
fa001e78-0005-4000-8000-000000000005,Руководитель отдела аналитики,fa001e78-0002-4000-8000-000000000002,fa001e78-8ff1-4bb3-b417-d518483ca7b3
fa001e78-0006-4000-8000-000000000006,Ведущий разработчик,fa001e78-0004-4000-8000-000000000004,fa001e78-8ff1-4bb3-b417-d518483ca7b3
fa001e78-0007-4000-8000-000000000007,Старший разработчик,fa001e78-0004-4000-8000-000000000004,fa001e78-8ff1-4bb3-b417-d518483ca7b3
fa001e78-0008-4000-8000-000000000008,Разработчик,fa001e78-0007-4000-8000-000000000007,fa001e78-8ff1-4bb3-b417-d518483ca7b3
fa001e78-0009-4000-8000-000000000009,QA инженер,fa001e78-0004-4000-8000-000000000004,fa001e78-8ff1-4bb3-b417-d518483ca7b3
fa001e78-000a-4000-8000-00000000000a,HR менеджер,fa001e78-0001-4000-8000-000000000001,fa001e78-8ff1-4bb3-b417-d518483ca7b3
4eae2daf-0001-4000-8000-000000000001,Генеральный директор,null,4eae2daf-8a11-4018-8c8a-5c5d813f596c
4eae2daf-0002-4000-8000-000000000002,Технический директор,4eae2daf-0001-4000-8000-000000000001,4eae2daf-8a11-4018-8c8a-5c5d813f596c
4eae2daf-0003-4000-8000-000000000003,Финансовый директор,4eae2daf-0001-4000-8000-000000000001,4eae2daf-8a11-4018-8c8a-5c5d813f596c
4eae2daf-0004-4000-8000-000000000004,Руководитель отдела разработки,4eae2daf-0002-4000-8000-000000000002,4eae2daf-8a11-4018-8c8a-5c5d813f596c
